orcid,pmid,pmc,doi,wosuid,eid,dnb,article-qnr
0000-0003-2760-1191,27899851,PMC5126442,,,,,Q37448620
0000-0003-2760-1191,27899851,PMC5126442,,,,,Q37448620
0000-0003-2760-1191,,,quatsch 10.1016/0002-8703(72)90342-0,,2-s2.0-0015383210,,Q40917361
0000-0003-2760-1191,,,hoho 10.1016/0002-8703(72)90342-0,,2-s2.0-0015383210,,Q40917361
0000-0003-2760-1191,,,10.1016/S0022-0736(72)80009-8,,2-s2.0-0015277364,,Q70477203
0000-0002-4050-6191,29146482,,10.1016/j.rec.2017.10.005,,,,Q47176306
0000-0001-7526-5191,,,10.1063/1.4949339,,2-s2.0-84971238399,,Q61365912
0000-0001-7526-5191,,,10.1063/1.5057768,,,,Q92115614
0000-0001-7526-5191,,,10.1063/1.5057768,,2-s2.0-85061672206,,Q92115614
0000-0001-7526-5191,,,10.1364/OE.26.027212,,2-s2.0-85055114110,,Q93375406
0000-0001-7526-5191,,,10.1063/1.4949339,,,,Q61365912
0000-0001-7526-5191,21033872,,10.1063/1.3475729,,,,Q82227134
0000-0001-7526-5191,21033872,,10.1063/1.3475729,,,,Q82227134
0000-0001-7526-5191,19044531,,10.1063/1.2973326,,,,Q82778227
0000-0001-7526-5191,19044531,,10.1063/1.2973326,,,,Q82778227
0000-0001-7526-5191,19044531,,10.1063/1.2973326,,,,Q82778227
0000-0001-7526-5191,19044531,,10.1063/1.2973326,,,,Q82778227
0000-0001-8852-5191,,,10.1107/S1600577515008632,WOS:000357407900031,,,Q35680885
